表serial,电表地址,网关serial,总线(ch),电量(kWh)
S3-F7-DB02-721,21,NS-S3-F2-DBWG03,1,484.37
S3-F7-DB02-722,22,NS-S3-F2-DBWG03,1,534.92
S3-F8-DB01-801,1,NS-S3-F2-DBWG03,2,582.9
S3-F8-DB01-802,2,NS-S3-F2-DBWG03,2,356.05
S3-F8-DB01-803,3,NS-S3-F2-DBWG03,2,1873.16
S3-F8-DB01-804,4,NS-S3-F2-DBWG03,2,272.06
S3-F8-DB01-805,5,NS-S3-F2-DBWG03,2,382.87
S3-F8-DB01-806,6,NS-S3-F2-DBWG03,2,641.46
S3-F8-DB01-807,7,NS-S3-F2-DBWG03,2,1051.91
S3-F8-DB01-808,8,NS-S3-F2-DBWG03,2,607.9
S3-F8-DB01-809,9,NS-S3-F2-DBWG03,2,398.71
S3-F8-DB01-810,10,NS-S3-F2-DBWG03,2,436.99
S3-F8-DB01-811,11,NS-S3-F2-DBWG03,2,585.22
S3-F8-DB01-812,12,NS-S3-F2-DBWG03,2,741.65
S3-F8-DB02-813,13,NS-S3-F2-DBWG03,2,501.88
S3-F8-DB02-814,14,NS-S3-F2-DBWG03,2,609.71
S3-F8-DB02-815,15,NS-S3-F2-DBWG03,2,928.54
S3-F8-DB02-816,16,NS-S3-F2-DBWG03,2,274.49
S3-F8-DB02-817,17,NS-S3-F2-DBWG03,2,244.51
S3-F8-DB02-818,18,NS-S3-F2-DBWG03,2,244.11
S3-F8-DB02-819,19,NS-S3-F2-DBWG03,2,228.26
S3-F8-DB02-820,20,NS-S3-F2-DBWG03,2,360.07
S3-F8-DB02-821,21,NS-S3-F2-DBWG03,2,1204.5
S3-F8-DB02-822,22,NS-S3-F2-DBWG03,2,424.02
S3-F8-DB02-823,23,NS-S3-F2-DBWG03,2,1725.1
S3-F8-DB02-824,24,NS-S3-F2-DBWG03,2,612.9
S3-F8-DB03-825,25,NS-S3-F2-DBWG03,2,1795.37
S3-F8-DB03-826,26,NS-S3-F2-DBWG03,2,1333.21
S3-F8-DB03-827,27,NS-S3-F2-DBWG03,2,354.2
S3-F8-DB03-828,28,NS-S3-F2-DBWG03,2,148.67
S3-F8-DB03-829,29,NS-S3-F2-DBWG03,2,494.52
S3-F8-DB03-830,30,NS-S3-F2-DBWG03,2,1164.06
S3-F8-DB03-831,31,NS-S3-F2-DBWG03,2,335.57
S3-F9-DB01-901,1,NS-S3-F2-DBWG03,3,375.08
S3-F9-DB01-902,2,NS-S3-F2-DBWG03,3,1319.4
S3-F9-DB01-903,3,NS-S3-F2-DBWG03,3,809.78
S3-F9-DB01-904,4,NS-S3-F2-DBWG03,3,1443.19
S3-F9-DB01-905,5,NS-S3-F2-DBWG03,3,1504.65
S3-F9-DB01-906,6,NS-S3-F2-DBWG03,3,1605.32
S3-F9-DB01-907,7,NS-S3-F2-DBWG03,3,333.57
S3-F9-DB01-908,8,NS-S3-F2-DBWG03,3,492.94
S3-F9-DB01-909,9,NS-S3-F2-DBWG03,3,875
S3-F9-DB01-910,10,NS-S3-F2-DBWG03,3,124.74
S3-F9-DB01-911,11,NS-S3-F2-DBWG03,3,1647.21
S3-F9-DB01-912,12,NS-S3-F2-DBWG03,3,185.29
S3-F9-DB02-913,13,NS-S3-F2-DBWG03,3,566.69
S3-F9-DB02-914,14,NS-S3-F2-DBWG03,3,1387.67
S3-F9-DB02-915,15,NS-S3-F2-DBWG03,3,1383.47
S3-F9-DB02-916,16,NS-S3-F2-DBWG03,3,1035.45
S3-F9-DB02-917,17,NS-S3-F2-DBWG03,3,758.39
S3-F9-DB02-918,18,NS-S3-F2-DBWG03,3,898.44
S3-F9-DB02-919,19,NS-S3-F2-DBWG03,3,1294.85
S3-F9-DB02-920,20,NS-S3-F2-DBWG03,3,803.08
S3-F9-DB02-921,21,NS-S3-F2-DBWG03,3,583.83
S3-F9-DB02-922,22,NS-S3-F2-DBWG03,3,156.72
S3-F9-DB02-923,23,NS-S3-F2-DBWG03,3,1326.61
S3-F9-DB02-924,24,NS-S3-F2-DBWG03,3,1278.69
S3-F9-DB03-925,25,NS-S3-F2-DBWG03,3,345.5
S3-F9-DB03-926,26,NS-S3-F2-DBWG03,3,960.24
S3-F9-DB03-927,27,NS-S3-F2-DBWG03,3,570.62
S3-F9-DB03-928,28,NS-S3-F2-DBWG03,3,1754.38
S3-F9-DB03-929,29,NS-S3-F2-DBWG03,3,1201.44
S3-F9-DB03-930,30,NS-S3-F2-DBWG03,3,889.43
S3-F9-DB03-931,31,NS-S3-F2-DBWG03,3,1286.7
S3-F10-DB01-1001,1,NS-S3-F2-DBWG04,1,1064.43
S3-F10-DB01-1002,2,NS-S3-F2-DBWG04,1,247.81
S3-F10-DB01-1003,3,NS-S3-F2-DBWG04,1,1360.13
S3-F10-DB01-1004,4,NS-S3-F2-DBWG04,1,1436.74
S3-F10-DB01-1005,5,NS-S3-F2-DBWG04,1,328.09
S3-F10-DB01-1006,6,NS-S3-F2-DBWG04,1,322.97
S3-F10-DB01-1007,7,NS-S3-F2-DBWG04,1,208.11
S3-F10-DB01-1008,8,NS-S3-F2-DBWG04,1,1179
S3-F10-DB01-1009,9,NS-S3-F2-DBWG04,1,576.14
S3-F10-DB01-1010,10,NS-S3-F2-DBWG04,1,836.98
S3-F10-DB01-1011,11,NS-S3-F2-DBWG04,1,1513.86
S3-F10-DB01-1012,12,NS-S3-F2-DBWG04,1,847.3
S3-F10-DB02-1013,13,NS-S3-F2-DBWG04,1,2058.6
S3-F10-DB02-1014,14,NS-S3-F2-DBWG04,1,777.4
S3-F10-DB02-1015,15,NS-S3-F2-DBWG04,1,867.96
S3-F10-DB02-1016,16,NS-S3-F2-DBWG04,1,1797.34
S3-F10-DB02-1017,17,NS-S3-F2-DBWG04,1,1682.34
S3-F10-DB02-1018,18,NS-S3-F2-DBWG04,1,2121.47
S3-F10-DB02-1019,19,NS-S3-F2-DBWG04,1,1172.83
S3-F10-DB02-1020,20,NS-S3-F2-DBWG04,1,680.71
S3-F10-DB02-1021,21,NS-S3-F2-DBWG04,1,877.63
S3-F10-DB02-1022,22,NS-S3-F2-DBWG04,1,689.83
S3-F10-DB02-1023,23,NS-S3-F2-DBWG04,1,1078.52
S3-F10-DB02-1024,24,NS-S3-F2-DBWG04,1,618.09
S3-F10-DB03-1025,25,NS-S3-F2-DBWG04,1,391.31
S3-F10-DB03-1026,26,NS-S3-F2-DBWG04,1,753.79
S3-F10-DB03-1027,27,NS-S3-F2-DBWG04,1,1327.66
S3-F10-DB03-1028,28,NS-S3-F2-DBWG04,1,183.03
S3-F10-DB03-1029,29,NS-S3-F2-DBWG04,1,719.56
S3-F10-DB03-1030,30,NS-S3-F2-DBWG04,1,63.81
S3-F10-DB03-1031,31,NS-S3-F2-DBWG04,1,900.67
S3-F11-DB01-1101,1,NS-S3-F2-DBWG04,2,365.91
S3-F11-DB01-1102,2,NS-S3-F2-DBWG04,2,648.96
S3-F11-DB01-1103,3,NS-S3-F2-DBWG04,2,320.97
S3-F11-DB01-1104,4,NS-S3-F2-DBWG04,2,388.42
S3-F11-DB01-1105,5,NS-S3-F2-DBWG04,2,293.67
S3-F11-DB01-1106,6,NS-S3-F2-DBWG04,2,215.73
S3-F11-DB01-1107,7,NS-S3-F2-DBWG04,2,246.61
S3-F11-DB01-1108,8,NS-S3-F2-DBWG04,2,165.52
S3-F11-DB01-1109,9,NS-S3-F2-DBWG04,2,338.77
S3-F11-DB01-1110,10,NS-S3-F2-DBWG04,2,398.57
S3-F11-DB01-1111,11,NS-S3-F2-DBWG04,2,255.46
S3-F11-DB01-1112,12,NS-S3-F2-DBWG04,2,314.73
S3-F11-DB02-1113,13,NS-S3-F2-DBWG04,2,407.99
S3-F11-DB02-1114,14,NS-S3-F2-DBWG04,2,443.92
S3-F11-DB02-1115,15,NS-S3-F2-DBWG04,2,185.7
S3-F11-DB02-1116,16,NS-S3-F2-DBWG04,2,222.39
S3-F11-DB02-1117,17,NS-S3-F2-DBWG04,2,748.28
S3-F11-DB02-1118,18,NS-S3-F2-DBWG04,2,257.29
S3-F11-DB02-1119,19,NS-S3-F2-DBWG04,2,471.23
S3-F11-DB02-1120,20,NS-S3-F2-DBWG04,2,320.56
S3-F11-DB02-1121,21,NS-S3-F2-DBWG04,2,385.7
S3-F11-DB02-1122,22,NS-S3-F2-DBWG04,2,642.03
S3-F11-DB02-1123,23,NS-S3-F2-DBWG04,2,232.21
S3-F11-DB02-1124,24,NS-S3-F2-DBWG04,2,652.05
S3-F11-DB03-1125,25,NS-S3-F2-DBWG04,2,1371.07
S3-F11-DB03-1126,26,NS-S3-F2-DBWG04,2,408.98
S3-F11-DB03-1127,27,NS-S3-F2-DBWG04,2,431.72
S3-F11-DB03-1128,28,NS-S3-F2-DBWG04,2,635.96
S3-F11-DB03-1129,29,NS-S3-F2-DBWG04,2,476.23
S3-F11-DB03-1130,30,NS-S3-F2-DBWG04,2,403.21
S3-F11-DB03-1131,31,NS-S3-F2-DBWG04,2,325.37
